Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8732,MA,131,62,4149,Fall 2014,Calculus I,18,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,63,4149,Fall 2014,Calculus I,16,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,64,4149,Fall 2014,Calculus I,15,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,1,4152,Spring 2015,Calculus I,72,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,2,4152,Spring 2015,Calculus II,60,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,3,4152,Spring 2015,Calculus II,67,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,6,4152,Spring 2015,Calculus II,52,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,21,4152,Spring 2015,Calculus II,13,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,22,4152,Spring 2015,Calculus II,25,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,23,4152,Spring 2015,Calculus II,8,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,24,4152,Spring 2015,Calculus II,14,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,31,4152,Spring 2015,Calculus II,13,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,32,4152,Spring 2015,Calculus II,21,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,33,4152,Spring 2015,Calculus II,24,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,34,4152,Spring 2015,Calculus II,9,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,61,4152,Spring 2015,Calculus II,11,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,62,4152,Spring 2015,Calculus II,10,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,63,4152,Spring 2015,Calculus II,21,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,64,4152,Spring 2015,Calculus II,10,DIS,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,1,4162,Spring 2016,Elementary Differential Eq,33,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,1,4172,Spring 2017,Elementary Differential Eq,82,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,2,4159,Fall 2015,Elementary Differential Eq,110,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8743,MA,232,2,4162,Spring 2016,Elementary Differential Eq,88,LEC,"Almomani,Ahmad Rasheed"
